Probe	CCL_A	CCL_B	CCL_C
cg11140307	0.0763	0.0622	0.0533
cg11140785	0.0107	0.6902	0.0193
cg11141013	0.0154	0.0192	0.0346
cg11141561	0.0015	0.0161	0.0312
cg11142466	0.0453	0.0479	0.0878
cg11147193	0.518	0.9297	0.8898
cg11147886	0.893	0.5245	0.4694
cg11148307	0.9165	0.9278	0.8929
cg11151811	0.0563	0.0564	0.0773
cg11151820	0.0326	0.037	0.0389
cg11154542	0.3393	0.8313	0.1873
cg11154798	0.0393	0.0243	0.0121
cg11154879	0.8427	0.8365	0.5416
cg11157872	0.0382	0.0467	0.0594
cg11158374	0.4556	0.9114	0.4998
cg11158430	0.912	0.9568	0.9338
cg11158440	0.0235	0.0237	0.0258
cg11158729	0.1102	0.1727	0.1359
cg11158760	0.0738	0.0759	0.079
cg11160386	0.0561	0.0443	0.0654
cg11160820	0.0882	0.0731	0.0999
cg11161417	0.0467	0.7473	0.3058
cg11164400	0.633	0.8958	0.2748
cg11166252	0.1829	0.1882	0.2193
cg11166823	0.0533	0.048	0.0714
cg11166999	0.0746	0.9195	0.8102
cg11170179	0.3011	0.1002	0.5483
cg11170796	0.8578	0.854	0.8443
cg11171719	0.0832	0.0601	0.0914
cg11172196	0.0621	0.0515	0.0963
cg11172299	0.0622	0.0566	0.0697
cg11172423	0.574	0.849	0.7702
cg11173246	0.0319	0.9314	0.0681
cg11175310	0.045	0.0295	0.0698
cg11175476	0.1904	0.2462	0.1707
cg11175477	0.0427	0.0404	0.0537
cg11177404	0.1609	0.8389	0.7264
cg11177450	0.136	0.082	0.3256
cg11177693	0.1377	0.7686	0.8556
cg11177955	0.0262	0.0272	0.0411
cg11178136	0.8784	0.9329	0.7547
cg11178443	0.0304	0.0324	0.0421
cg11184091	0.0791	0.08	0.1087
cg11185452	0.0292	0.0239	0.0314
cg11185569	0.079	0.0496	0.1047
cg11187508	0.0279	0.0314	0.0268
cg11189434	0.0302	0.0423	0.0455
cg11189837	0.863	0.1328	0.0557
cg11191210	0.3248	0.8667	0.1618
cg11191337	0.1119	0.8702	0.6245
cg11193041	0.0687	0.0805	0.0926
cg11194725	0.0291	0.035	0.0508
cg11195002	0.0425	0.0364	0.4731
cg11195662	0.0606	0.1119	0.1361
cg11196870	0.1099	0.1041	0.1212
cg11197066	0.0315	0.0326	0.0238
cg11199399	0.1161	0.0736	0.1395
cg11200929	0.8235	0.5747	0.5166
cg11201229	0.7467	0.9646	0.9448
cg11201288	0.9085	0.963	0.5781
cg11201532	0.8425	0.8559	0.8307
cg11203041	0.8149	0.9073	0.6062
cg11204562	0.2272	0.9276	0.0787
cg11206634	0.1028	0.4386	0.8451
cg11206667	0.0411	0.0379	0.0501
cg11206763	0.0505	0.0501	0.0426
cg11207379	0.0304	0.0261	0.0399
cg11208235	0.0466	0.0339	0.0623
cg11208880	0.0413	0.0525	0.0521
cg11212312	0.3145	0.9085	0.6178
cg11212609	0.1003	0.0993	0.1104
cg11213150	0.8323	0.8989	0.1193
cg11214889	0.0164	0.0346	0.9416
cg11216616	0.0578	0.0922	0.0583
cg11220060	0.0973	0.8783	0.0784
cg11220635	0.0585	0.0598	0.0655
cg11221132	0.3644	0.7798	0.6721
cg11221265	0.0379	0.0421	0.0494
cg11221508	0.0457	0.055	0.0947
cg11222041	0.0553	0.0407	0.0818
cg11223252	0.0274	0.0729	0.0649
cg11223864	0.0476	0.043	0.0515
cg11225410	0.7528	0.1081	0.8969
cg11225935	0.0275	0.0273	0.0578
cg11226328	0.0768	0.0821	0.2209
cg11227541	0.1165	0.1068	0.1323
cg11228872	0.0465	0.0354	0.0738
cg11231018	0.6711	0.9185	0.9361
cg11233153	0.0063	0.0027	7e-04
cg11233228	0.0795	0.1018	0.1125
cg11233384	0.191	0.1865	0.3635
cg11234457	0.3889	0.9165	0.8366
cg11235426	0.4978	0.5076	0.1665
cg11235871	0.0585	0.0489	0.0828
cg11236244	0.5654	0.9006	0.8373
cg11237115	0.0599	0.0769	0.0644
cg11237738	0.5216	0.9419	0.7852
cg11237883	0.0355	0.0345	0.0398
cg11238505	0.0241	0.0207	0.0342
cg11241627	0.3058	0.752	0.5962
cg11243196	0.7406	0.0186	0.0468
cg11245384	0.1047	0.6692	0.2959
cg11246695	0.0023	0.0074	0.0129
cg11248413	0.4284	0.4432	0.1752
cg11248491	0.0434	0.0627	0.0516
cg11250247	0.0402	0.0757	0.0541
cg11251086	0.0461	0.0339	0.0533
cg11251858	0.5108	0.3769	0.1609
cg11251877	0.8988	0.9666	0.843
cg11254522	0.7291	0.9007	0.7773
cg11255163	0.0792	0.0625	0.4179
cg11255230	0.0179	0.0215	0.0221
cg11256445	0.5327	0.8871	0.8247
cg11260422	0.0544	0.0319	0.0983
cg11260848	0.7632	0.8724	0.8227
cg11261264	0.1334	0.9167	0.9112
cg11262815	0.4953	0.3458	0.1042
cg11262874	0.3708	0.4364	0.1278
cg11263296	0.3555	0.8199	0.6752
cg11263497	0.0341	0.0762	0.0349
cg11263584	0.0313	0.0366	0.0655
cg11264817	0.0061	0.0122	0.0151
cg11265916	0.049	0.061	0.0521
cg11266874	0.0556	0.0369	0.0772
cg11269533	0.137	0.7513	0.2239
cg11271605	0.7629	0.5213	0.6118
cg11272332	0.1504	0.909	0.102
cg11274211	0.0734	0.0795	0.0902
cg11276198	0.0062	0.0098	0.0121
cg11276280	0.094	0.0492	0.0921
cg11277230	0.5891	0.6385	0.9069
cg11278262	0.7194	0.0135	0.0057
cg11279021	0.814	0.8529	0.0639
cg11285003	0.2255	0.6024	0.1994
cg11285843	0.5137	0.5147	0.1852
cg11286122	0.7297	0.9452	0.8737
cg11286163	0.0383	0.0405	0.0563
cg11286618	0.0914	0.0923	0.1177
cg11289251	0.0084	0.0224	0.0279
cg11290225	0.0532	0.0491	0.2674
cg11291009	0.0501	0.8917	0.0766
cg11291200	0.2687	0.9101	0.681
cg11295113	0.1584	0.8573	0.4207
cg11295902	0.0436	0.0195	0.0148
cg11296363	0.041	0.0348	0.0845
cg11296937	0.1648	0.1966	0.2713
cg11297236	0.0221	0.3526	0.0411
cg11298412	0.0934	0.0571	0.0905
cg11298616	0.0294	0.0275	0.05
cg11299964	0.049	0.063	0.0624
cg11300809	0.21	0.821	0.8807
cg11303670	0.0856	0.1076	0.0906
cg11303749	0.0676	0.0641	0.0805
cg11304234	0.0431	0.0338	0.8734
cg11304524	0.9582	0.9565	0.9381
cg11308840	0.2206	0.8865	0.1134
cg11310496	0.149	0.8867	0.8549
cg11310692	0.031	0.028	0.0296
cg11311499	0.0595	0.0881	0.0787
cg11312566	0.0514	0.0645	0.7745
cg11313124	0.0239	0.0355	0.0375
cg11313997	0.044	0.0644	0.0427
cg11314292	0.1499	0.0483	0.0464
cg11314684	0.0481	0.531	0.0359
cg11316784	0.0512	0.0497	0.0831
cg11319389	0.6708	0.9167	0.8871
cg11320084	0.52	0.9016	0.5662
cg11320143	0.0504	0.0396	0.0259
cg11321895	0.0955	0.0788	0.1004
cg11323198	0.4903	0.0413	0.1041
cg11323230	0.0898	0.0503	0.0568
cg11323731	0.0808	0.0673	0.0839
cg11324740	0.0387	0.0428	0.0281
cg11325578	0.5924	0.9649	0.9199
cg11326613	0.1325	0.3067	0.1664
cg11328149	0.4378	0.8547	0.4197
cg11328875	0.0252	0.0235	0.0418
cg11329235	0.0487	0.0551	0.0796
cg11330108	0.4746	0.9068	0.1711
cg11332950	0.0383	0.0453	0.0928
cg11336428	0.0549	0.0426	0.0622
cg11337525	0.0603	0.056	0.0811
cg11340260	0.443	0.8597	0.7043
cg11341528	0.3337	0.0571	0.0603
cg11353032	0.0309	0.0492	0.0254
cg11354906	0.7535	0.5569	0.889
cg11356290	0.016	0.0199	0.015
cg11356705	0.0173	0.0164	0.0199
cg11360718	0.8564	0.904	0.8328
cg11360768	0.0063	0.0065	0.0125
cg11366015	0.0347	0.0382	0.0429
cg11368509	0.044	0.0804	0.0786
cg11368578	0.0798	0.079	0.137
cg11368643	0.3995	0.9018	0.1179
cg11368791	0.0384	0.0264	0.0392
cg11371160	0.0631	0.0329	0.0713
cg11371394	0.0974	0.0886	0.1545
cg11372696	0.0275	0.0284	0.0691
cg11373429	0.1259	0.1294	0.122
cg11373746	0.0387	0.0527	0.0461
cg11375079	0.0776	0.0526	0.0639
cg11375102	0.614	0.8699	0.8378
cg11375475	0.0545	0.0479	0.045
cg11375622	0.0432	0.0357	0.0399
cg11376198	0.8711	0.9943	0.9812
cg11377136	0.9955	0.0168	0.9887
cg11378052	0.1385	0.8512	0.5043
cg11378484	0.08	0.1555	0.1949
cg11378686	0.1472	0.474	0.1129
cg11378840	0.013	0.0227	0.0095
cg11380128	0.443	0.789	0.4649
cg11380624	0.081	0.1208	0.1099
cg11385473	0.0434	0.0664	0.0936
cg11387131	0.3081	0.3723	0.645
cg11387519	0.0455	0.0331	0.0576
cg11389172	0.6636	0.4423	0.0627
cg11390468	0.0928	0.0437	0.0502
cg11391732	0.1881	0.9202	0.8848
cg11392765	0.0461	0.053	0.067
cg11393453	0.0908	0.1157	0.0876
cg11393848	0.0454	0.1576	0.0503
cg11394644	0.0384	0.0311	0.046
cg11394785	0.8313	0.8579	0.8156
cg11395917	0.0429	0.0409	0.0664
cg11396509	0.0419	0.2433	0.2594
cg11397854	0.0929	0.0702	0.0809
cg11398517	0.3601	0.4609	0.3068
cg11398680	0.0695	0.0558	0.0605
cg11399100	0.5483	0.896	0.5625
cg11399527	0.0473	0.0464	0.0841
cg11399891	0.0682	0.0498	0.0814
cg11400333	0.097	0.5192	0.2708
cg11402505	0.487	0.0242	0.0524
cg11405695	0.3266	0.9161	0.6773
cg11406340	0.2776	0.9481	0.8603
cg11407345	0.0402	0.056	0.0846
cg11408517	0.0354	0.0345	0.0374
cg11411707	0.0511	0.0487	0.0665
cg11412582	0.4034	0.4359	0.0017
cg11414046	0.0579	0.1107	0.0927
cg11415932	0.0542	0.0504	0.0546
cg11416386	0.0456	0.0375	0.0438
cg11418559	0.5058	0.125	0.8611
cg11419863	0.0077	0.0445	0.0219
cg11422541	0.0093	0.0249	0.0234
cg11426590	0.0489	0.0536	0.0413
cg11428724	0.7739	0.0203	0.3365
cg11429632	0.0233	0.0341	0.0492
cg11429658	0.8861	0.8976	0.1965
cg11431126	0.6979	0.5288	0.0747
cg11434468	0.0436	0.0423	0.0251
cg11435943	0.084	0.9132	0.3546
cg11438428	0.5321	0.8412	0.2773
cg11438755	0.0313	0.0376	0.0456
cg11442050	0.0412	0.044	0.047
cg11442717	0.2742	0.8503	0.8896
cg11443787	0.0318	0.0327	0.0343
cg11449935	0.057	0.0667	0.1115
cg11450001	0.1001	0.1878	0.0772
cg11450827	0.564	0.8194	0.7543
cg11451801	0.0662	0.0455	0.0723
cg11452221	0.4596	0.8321	0.8248
cg11453347	0.0495	0.0596	0.0441
cg11454415	0.0957	0.0681	0.0653
cg11455040	0.0254	0.1628	0.0471
cg11456838	0.6826	0.951	0.41
cg11458642	0.0546	0.049	0.0538
cg11458974	0.8024	0.9498	0.9053
cg11459714	0.0308	0.0311	0.0954
cg11460029	0.6832	0.1457	0.0893
cg11460364	0.7088	0.8881	0.8129
cg11462533	0.0744	0.4323	0.1648
cg11462865	0.0677	0.5864	0.888
cg11465372	0.4512	0.901	0.2109
cg11466837	0.896	0.9119	0.5391
cg11466908	0.0435	0.0482	0.0564
cg11467738	0.0337	0.0341	0.0632
cg11468462	0.0115	0.0223	0.0401
cg11468711	0.0476	0.0418	0.0595
cg11469778	0.5628	0.8857	0.7088
cg11471401	0.1775	0.1126	0.2722
cg11471666	0.0493	0.037	0.0865
cg11472424	0.1147	0.9239	0.052
cg11473104	0.0662	0.065	0.0779
cg11474075	0.0655	0.0605	0.0651
cg11474811	0.0965	0.8179	0.1504
cg11475332	0.0458	0.0559	0.0771
cg11476211	0.8445	0.0466	0.0873
cg11476254	0.9391	0.9365	0.9127
cg11479591	0.0301	0.0485	0.0389
cg11480873	0.0326	0.034	0.0448
cg11481351	0.5166	0.9663	0.9224
cg11481490	0.0655	0.0587	0.0748
cg11481720	0.0488	0.3885	0.0278
cg11481793	0.021	0.0175	0.0147
cg11483915	0.6776	0.6974	0.9323
cg11484576	0.4699	0.9163	0.4622
cg11485602	0.0612	0.0633	0.0935
cg11487705	0.0692	0.0479	0.0916
cg11489580	0.0346	0.031	0.0539
cg11490446	0.0363	0.2157	0.0648
cg11492040	0.1175	0.8354	0.4539
cg11492403	0.4699	0.8785	0.7971
cg11494656	0.1096	0.9096	0.2658
cg11494699	0.1297	0.8646	0.4532
cg11498188	0.0587	0.0702	0.1228
cg11498740	0.0541	0.3921	0.0605
cg11500727	0.3431	0.9103	0.3209
cg11500797	0.8424	0.9147	0.9137
cg11502800	0.0306	0.0339	0.0376
cg11503744	0.0739	0.0689	0.0949
cg11504646	0.3068	0.9436	0.1804
cg11504740	0.6001	0.8748	0.5592
cg11504897	0.0755	0.063	0.0318
cg11505048	0.6063	0.9579	0.8555
cg11507178	0.1005	0.0773	0.1021
cg11510269	0.0408	0.0486	0.0445
cg11510839	0.0195	0.9725	0.1742
cg11511443	0.2305	0.9383	0.0727
cg11512771	0.2383	0.9151	0.8944
cg11513856	0.6313	0.3216	0.1716
cg11516377	0.0382	0.6919	0.4597
cg11516606	0.0308	0.3398	0.0584
cg11518240	0.8861	0.9558	0.9435
cg11521325	0.0443	0.3574	0.0692
cg11521965	0.077	0.843	0.5611
cg11523020	0.1205	0.8115	0.5574
cg11526405	0.0585	0.0598	0.0468
cg11528101	0.0075	0	0.015
cg11528666	0.0275	0.033	0.0513
cg11529128	0.4753	0.1206	0.413
cg11530960	0.7196	0.1868	0.1311
cg11532513	0.0671	0.9387	0.7951
cg11536940	0.4391	0.8073	0.7952
cg11538128	0.8956	0.1069	0.2236
cg11539173	0.0329	0.0336	0.0452
cg11540692	0.5281	0.8782	0.8368
cg11540997	0.1113	0.7899	0.4913
cg11541187	0.0454	0.0493	0.055
cg11542231	0.3948	0.0436	0.0253
cg11546621	0.4841	0.8649	0.8077
cg11547724	0.4403	0.9175	0.6399
cg11550426	0.048	0.0614	0.0657
cg11552293	0.4159	0.2288	0.4367
cg11553177	0.0874	0.1049	0.1418
cg11554507	0.0532	0.8547	0.0502
cg11554605	0.6196	0.9339	0.9656
cg11554937	0.5799	0.7303	0.6451
cg11558474	0.1614	0.2522	0.1097
cg11560403	0.8005	0.8876	0.82
cg11563860	0.1744	0.3871	0.0928
cg11564670	0.1889	0.8266	0.5133
cg11565248	0.0398	0.0343	0.0478
cg11566199	0.3687	0.9006	0.8348
cg11566244	0.0568	0.0806	0.0858
cg11566939	0.108	0.0709	0.1147
cg11572744	0.6845	0.0521	0.1586
cg11574612	0.0655	0.0772	0.0539
cg11574758	0.0544	0.0689	0.0542
cg11579069	0.0521	0.0619	0.1124
cg11582100	0.0453	0.0331	0.0337
cg11584111	0.0605	0.1154	0.0855
cg11584690	0.3397	0.8857	0.6452
cg11584936	0.1989	0.9475	0.7443
cg11585425	0.0364	0.0455	0.0563
cg11590700	0.1349	0.0837	0.0651
cg11591325	0.8714	0.036	0.0182
cg11592951	0.0123	0.0119	0.0173
cg11593656	0.1225	0.1327	0.1298
cg11594415	0	0.0028	0
cg11595245	0.0245	0.0198	0.0706
cg11595749	0.0727	0.0527	0.0713
cg11595794	0.0823	0.0486	0.0381
cg11598929	0.1302	0.1512	0.1077
cg11599505	0.8393	0.9655	0.9503
cg11601662	0.0331	0.017	0.022
cg11603096	0.03	0.0399	0.0416
cg11608114	0.0479	0.0494	0.056
cg11609154	0.0506	0.0645	0.03
cg11609344	0.0269	0.0396	0.0398
cg11609366	0.0301	0.0218	0.0342
cg11609760	0.0864	0.0598	0.0859
cg11611600	0.6555	0.1543	0.2769
cg11612291	0.0419	0.0253	0.4504
cg11612345	0.643	0.8812	0.119
cg11613875	0.0075	0.002	0.0046
cg11614809	0.3434	0.8793	0.0971
cg11617144	0.6963	0.9951	0.9897
cg11618577	0.0743	0.0795	0.8895
cg11619390	0.4118	0.6121	0.1662
cg11620807	0.0177	0.006	0.0164
cg11620873	0.0621	0.0364	0.0688
cg11625178	0.0493	0.0388	0.0983
cg11625451	0.0718	0.0613	0.095
cg11625946	0.0713	0.0532	0.0969
cg11626656	0.0287	0.04	0.0323
cg11626791	0.1773	0.0356	0.0082
cg11628026	0.827	0.9012	0.9008
cg11628034	0.0613	0.0482	0.0531
cg11628282	0.0296	0.0448	0.0591
cg11628487	0.0934	0.097	0.1371
cg11630242	0.9143	0.1736	0.9011
cg11630392	0.8155	0.9166	0.9205
cg11631275	0.7494	0.9399	0.9695
cg11631518	0.4545	0.8822	0.0958
cg11632617	0.0636	0.1049	0.0827
cg11634198	0.8477	0.9611	0.3462
cg11635563	0.9355	0.9603	0.5308
cg11638200	0.8579	0.0476	0.0644
cg11638880	0.0539	0.0539	0.0642
cg11639397	0.0352	0.0292	0.0332
cg11639651	0.7712	0.9565	0.8891
cg11640565	0.5599	0.9028	0.0311
cg11644586	0.5486	0.5831	0.7019
cg11646704	0.026	0.0293	0.0305
cg11646757	0.0959	0.0714	0.0474
cg11646887	0.0416	0.0558	0.0617
cg11647681	0.8864	0.943	0.5656
cg11648289	0.043	0.0659	0.0342
cg11648471	0.0705	0.0726	0.054
cg11648996	0.7163	0.8697	0.5411
cg11649001	0.0595	0.0508	0.0815
cg11649654	0.0307	0.0241	0.0409
cg11649825	0.0505	0.0413	0.0505
cg11649846	0.794	0.8894	0.8952
cg11651717	0.0681	0.0652	0.0699
cg11653266	0.0519	0.0393	0.064
cg11653271	0.0627	0.0423	0.0928
cg11653466	0.7398	0.9304	0.4654
cg11653500	0.0704	0.0712	0.1133
cg11653858	0.2535	0.7811	0.7307
cg11653864	0.0116	0.0066	0.016
cg11654333	0.0661	0.0665	0.0924
cg11654620	0.0496	0.0389	0.4963
cg11654737	0.0298	0.029	0.0227
cg11655418	0.0153	0.0227	0.0262
cg11655691	0.0308	0.0202	0.015
cg11656547	0.2789	0.5747	0.8826
cg11659747	0.0628	0.0453	0.0295
cg11661234	0.0783	0.0567	0.0887
cg11662098	0.0439	0.0378	0.0558
cg11664825	0.1339	0.1203	0.2019
cg11665562	0.0596	0.1869	0.0659
cg11665588	0.6652	0.0588	0.0666
cg11666924	0.0329	0.036	0.0587
cg11667117	0.559	0.8973	0.8488
cg11667754	0.0336	0.0423	0.5896
cg11668512	0.8165	0.9292	0.9044
cg11668844	0.6277	0.6004	0.7736
cg11668923	0.9033	0.0916	0.3317
cg11670211	0.552	0.9405	0.3397
cg11672225	0.0511	0.0584	0.0417
cg11673092	0.2936	0.932	0.7447
cg11673969	0.0911	0.0636	0.0916
cg11675413	0.7592	0.9352	0.9338
cg11676109	0.0442	0.0278	0.1013
cg11676599	0.0575	0.0496	0.0884
cg11677722	0.0358	0.0493	0.0361
cg11678767	0.0905	0.0397	0.1076
cg11679069	0.2998	0.9047	0.7292
cg11680158	0.0723	0.1021	0.1062
cg11680236	0.0571	0.0669	0.0742
cg11681617	0.6325	0.3114	0.2631
cg11682508	0.1734	0.7784	0.444
cg11688219	0.0353	0.1357	0.0465
cg11688469	0.626	0.9042	0.8502
cg11691938	0.0495	0.051	0.0737
cg11692021	0.0425	0.9127	0.8257
cg11692477	0.5165	0.2728	0.5023
cg11693019	0.9043	0.2875	0.8598
cg11694641	0.0712	0.056	0.0745
cg11695266	0.6523	0.068	0.3893
cg11695358	0.2161	0.6671	0.3252
cg11695601	0.1074	0.0879	0.0445
cg11695684	0.789	0.8483	0.8354
cg11696575	0.0601	0.0652	0.0669
cg11698762	0.0506	0.0652	0.0492
cg11700429	0.0247	0.0213	0.0512
cg11700584	0.0341	0.0846	0.0331
cg11701148	0.1445	0.454	0.3111
cg11703011	0.2979	0.0421	0.089
cg11705439	0.0322	0.0462	0.0569
cg11706111	0.1483	0.7605	0.2064
cg11706163	0.1154	0.6915	0.4673
cg11706746	0.056	0.0636	0.0557
cg11706911	0.1913	0.2443	0.1693
cg11710000	0.8152	0.4949	0.05
cg11710969	0.1017	0.9175	0.5951
cg11713008	0.0326	0.0204	0.02
cg11713029	0.0383	0.0222	0.0473
cg11713336	0.0554	0.0491	0.0592
cg11714014	0.6565	0.6436	0.9166
cg11715903	0.9372	0.0082	0.0079
cg11715966	0.3715	0.9006	0.9094
cg11715999	0.0414	0.0457	0.053
cg11716026	0.554	0.9715	0.7316
cg11717557	0.0434	0.0309	0.0788
cg11718315	0.0472	0.0579	0.0501
cg11719283	0.3188	0.922	0.4675
cg11719297	0.0873	0.0774	0.0971
cg11719412	0.065	0.061	0.1003
cg11719452	0.0786	0.0691	0.1067
cg11719784	0.6057	0.8668	0.5788
cg11720778	0.6411	0.9314	0.8478
cg11721194	0.1057	0.9187	0.0965
cg11722531	0.1502	0.5224	0.1719
cg11722639	0.0081	0.0133	0.0148
cg11724134	0.0395	0.0362	0.0707
cg11724759	0.0414	0.9136	0.5798
cg11730100	0.0377	0.0428	0.0486
cg11730961	0.0412	0.0341	0.0643
cg11732619	0.7376	0.9843	0.032
cg11733245	0.1495	0.9749	0.7904
cg11735358	0.0327	0.0251	0.012
cg11735605	0.0388	0.0352	0.0113
cg11736869	0.0937	0.0745	0.0831
cg11738011	0.0559	0.0468	0.0506
cg11738543	0.8137	0.2194	0.8562
cg11739626	0.7609	0.912	0.8475
cg11743795	0.1031	0.0432	0.0831
cg11744351	0.0649	0.0535	0.138
cg11745019	0.2332	0.056	0.0474
cg11747499	0.9425	0.9512	0.3434
cg11747771	0.8028	0.3214	0.4198
cg11750183	0.0318	0.0382	0.0429
cg11750883	0.1034	0.8442	0.0869
cg11752275	0.2223	0.9148	0.7378
cg11754095	0.0647	0.0467	0.0431
cg11754206	0.8099	0.9084	0.1818
cg11754343	0.0423	0.0492	0.0525
cg11754676	0.3157	0.0958	0.0516
cg11756837	0.0374	0.0651	0.0449
cg11757293	0.0847	0.1562	0.4156
cg11759378	0.2485	0.8776	0.4986
cg11761535	0.5971	0.8633	0.559
cg11762346	0.5409	0.9437	0.9414
cg11762629	0.0421	0.0503	0.0616
cg11763112	0.0374	0.0385	0.045
cg11764747	0.2331	0.127	0.1716
cg11765205	0.1759	0.1474	0.5755
cg11766698	0.017	0.0294	0.0441
cg11767711	0.8293	0.8674	0.3562
cg11768416	0.9761	0.9896	0.9824
cg11768886	0.1938	0.416	0.0528
cg11769360	0.5981	0.9479	0.9477
cg11772764	0.0482	0.038	0.1374
cg11778001	0.2277	0.1361	0.2796
cg11780382	0.0528	0.0463	0.0401
cg11780934	0.083	0.0708	0.0791
cg11781389	0.2084	0.9466	0.2203
cg11783451	0.0468	0.0589	0.0867
cg11783497	0.3604	0.4225	0.7411
cg11784281	0.79	0.874	0.7937
cg11784785	0.0679	0.5236	0.0417
cg11786750	0.0492	0.0432	0.102
cg11787522	0.7275	0.2911	0.2563
cg11787828	0.0793	0.1382	0.1823
cg11790217	0.0186	0.0241	0.0274
cg11792483	0.0364	0.056	0.0329
cg11792664	0.0462	0.0435	0.0826
cg11794728	0.1641	0.4586	0.038
cg11795262	0.4571	0.8315	0.829
cg11797883	0.0042	0.0142	0.0153
cg11800672	0.4881	0.8787	0.7769
cg11801011	0.0532	0.692	0.381
cg11802013	0.0704	0.7788	0.8889
cg11802692	0.0736	0.0663	0.0596
cg11806389	0.0702	0.0763	0.0779
cg11806565	0.453	0.0822	0.3204
cg11806749	0.0578	0.042	0.0425
cg11810837	0.0529	0.0526	0.0879
cg11811840	0.8013	0.8983	0.8272
cg11812202	0.0304	0.8979	0.3997
cg11812218	0.324	0.7971	0.2432
cg11814446	0.0919	0.0691	0.0114
cg11815363	0.0488	0.0494	0.1251
cg11816577	0.1183	0.128	0.1035
cg11819013	0.0589	0.0446	0.0596
cg11819637	0.2028	0.8837	0.4652
cg11820497	0.0635	0.0561	0.0951
cg11820734	0.0405	0.0357	0.051
cg11821147	0.0169	0.0191	0.0138
cg11821536	0.0362	0.0373	0.0456
cg11821702	0.4541	0.94	0.8213
cg11822659	0.4532	0.8502	0.2761
cg11822772	0.4954	0.455	0.4487
cg11822932	0.5565	0.8947	0.888
cg11822964	0.4973	0.8588	0.7304
cg11823654	0.0273	0.0284	0.0275
cg11826116	0.0766	0.0575	0.1198
cg11827101	0.4346	0.731	0.6783
cg11828669	0.0758	0.0794	0.127
cg11832543	0.498	0.8996	0.6464
cg11832722	0.9016	0.0524	0.1933
cg11832727	0.0462	0.0347	0.0732
cg11833861	0.6763	0.8216	0.2291
cg11834681	0.2652	0.8754	0.1109
cg11837864	0.0586	0.1265	0.0272
cg11839979	0.0391	0.0306	0.0679
cg11840540	0.0617	0.4142	0.0236
cg11841758	0.0773	0.0921	0.1178
cg11843691	0.0354	0.0361	0.0346
cg11843760	0.0421	0.0292	0.0593
cg11844110	0.0765	0.0729	0.1105
cg11846236	0.722	0.0529	0.919
cg11846956	0.134	0.0871	0.155
cg11846968	0.054	0.7328	0.2214
cg11847459	0.0474	0.0702	0.0805
cg11847808	0.7537	0.8432	0.5297
cg11848539	0.048	0.0287	0.0389
cg11850311	0.0299	0.037	0.0292
cg11851098	0.9498	0.9544	0.9315
cg11852814	0.0341	0.0232	0.0317
cg11854877	0.0822	0.0715	0.1451
cg11856093	0.0964	0.082	0.077
cg11856697	0.7323	0.9312	0.8821
cg11856918	0.0127	0.0179	0.0198
cg11857445	0.1285	0.0835	0.1088
cg11860203	0.1037	0.8066	0.1902
cg11861730	0.0776	0.0721	0.0522
cg11864993	0.1964	0.6972	0.3092
cg11868029	0.0566	0.0371	0.0715
cg11868900	0.2311	0.0816	0.7968
cg11869721	0.0084	0.0103	0.0149
cg11871280	0.3053	0.9131	0.7369
cg11871549	0.3068	0.3134	0.4593
cg11873854	0.0554	0.5273	0.227
cg11876012	0.933	0.9398	0.925
cg11876919	0.0534	0.0932	0.1364
cg11877382	0.3377	0.9404	0.2689
cg11879480	0.0702	0.1253	0.1087
cg11879514	0.6029	0.8948	0.4621
cg11879577	0.4185	0.2801	0.069
cg11880010	0.1859	0.9461	0.6316
cg11880892	0.0304	0.0476	0.0403
cg11882252	0.0584	0.0583	0.0685
cg11884243	0.0426	0.8835	0.0983
cg11884546	0.0659	0.2069	0.0672
cg11884656	0.0438	0.0429	0.0663
cg11884792	0.0424	0.0493	0.0618
cg11885098	0.499	0.8081	0.3911
cg11887234	0.0759	0.0733	0.0417
cg11890956	0	0.0162	0
cg11891504	0.0306	0.0217	0.0311
cg11893236	0.0329	0.0312	0.053
cg11896271	0.242	0.2224	0.4925
cg11896345	0.0746	0.0647	0.0895
cg11896923	0.4074	0.2931	0.1336
cg11897314	0.3927	0.5776	0.0501
cg11899895	0.0486	0.0341	0.0251
cg11901954	0.043	0.0437	0.0572
cg11902458	0.0638	0.9214	0.0668
cg11903057	0.6723	0.9387	0.7501
cg11903096	0.0383	0.0566	0.0416
cg11903880	0.7809	0.9052	0.895
cg11904887	0.0161	0.0355	0.0256
cg11905488	0.1533	0.9497	0.3887
cg11905589	0.0568	0.0529	0.0398
cg11905617	0.0306	0.0564	0.0456
cg11906718	0.0449	0.0399	0.0462
cg11908570	0.0548	0.0518	0.0931
cg11909310	0.0226	0.041	0.0289
cg11909865	0.0475	0.0494	0.0236
cg11911418	0.9267	0.9298	0.908
cg11911951	0.0861	0.8149	0.8808
cg11912049	0.0417	0.0331	0.0354
cg11913104	0.0356	0.0447	0.0541
cg11913615	0.0399	0.3927	0.4101
cg11916186	0.0411	0.0456	0.0481
cg11917694	0.0632	0.1315	0.0994
cg11919694	0.3029	0.5198	0.1278
cg11920519	0.3735	0.8556	0.6963
cg11928366	0.0672	0.0418	0.0847
cg11928635	0.0497	0.0432	0.0464
cg11930592	0.0543	0.0414	0.0682
